region_id,constraint_order,constraint_name,A_T,A_Cao,B_Ca,B_Cb,B_Cc,b
0,0,reaction_linearized,-0.0025489500258823873,1.0,-1.0236251116045176,-0.02041154170663846,0.003889768050450614,-0.7792112296809216
0,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
1,0,reaction_linearized,-0.0029240528807792958,1.0,-1.0234850287651946,-0.023485028765194555,0.003889768050450614,-0.8938797613716762
1,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
2,0,reaction_linearized,-0.0032948822568953247,1.0,-1.0233469513126707,-0.02654154702957577,0.003889768050450614,-1.007241895282148
2,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
3,0,reaction_linearized,-0.015458366364947752,1.0,-1.2041318505405634,-0.172639685431684,0.033083088480006524,-5.0905064923851455
3,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
4,0,reaction_linearized,-0.017281327920259822,1.0,-1.1966405250145042,-0.19664052501450419,0.033083088480006524,-5.690815568622774
4,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
5,0,reaction_linearized,-0.018997374347328608,1.0,-1.189716521892524,-0.2200763781091135,0.033083088480006524,-6.255917033550922
5,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
6,0,reaction_linearized,-0.035216565724666485,1.0,-2.0171894701830313,-0.8146512701525983,0.21706990660047296,-12.712493394217626
6,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
7,0,reaction_linearized,-0.03838040129122891,1.0,-1.9290165500448226,-0.9290165500448226,0.21706990660047296,-13.854576329128694
7,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
8,0,reaction_linearized,-0.04118718914424917,1.0,-1.8541398073942679,-1.0397366140450555,0.21706990660047296,-14.867772002990167
8,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
9,0,reaction_linearized,-0.05393644843221422,1.0,-5.614002586311842,-3.512760490270678,1.1487419956649276,-22.802509687705445
9,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
10,0,reaction_linearized,-0.05824921283321949,1.0,-5.049456897553651,-4.049456897553651,1.1487419956649276,-24.62580089232206
10,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
11,0,reaction_linearized,-0.061932848844069466,1.0,-4.596425549868616,-4.568678847241315,1.1487419956649276,-26.183117850796826
11,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
12,0,reaction_linearized,-0.10354414554962199,1.0,-21.758084927101766,-15.36954251855241,5.077101861982213,-54.10000765792881
12,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
13,0,reaction_linearized,-0.11149755930201233,1.0,-18.848275598224742,-17.84827559822474,5.077101861982213,-58.255527437700366
13,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
14,0,reaction_linearized,-0.11816406934554424,1.0,-16.578486388932888,-20.246587911056437,5.077101861982213,-61.73866250528261
14,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
15,0,reaction_linearized,-0.26984705934323183,1.0,-85.41184536037375,-61.40384358113991,19.267042819033424,-165.31466176772898
15,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
16,0,reaction_linearized,-0.2901631198956345,1.0,-72.66072280693783,-71.66072280693834,19.267042819033424,-177.76075877856002
16,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
17,0,reaction_linearized,-0.3069965567342252,1.0,-62.88594692333595,-81.5862644095108,19.267042819033424,-188.07331850825557
17,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
18,0,reaction_linearized,-0.7629214453952757,1.0,-304.1699586157804,-217.36062920364446,64.19585844280634,-517.584267965118
18,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
19,0,reaction_linearized,-0.8195625776830084,1.0,-255.73239239314822,-254.7323923931432,64.19585844280634,-556.0109751560159
19,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
20,0,reaction_linearized,-0.8660607409785168,1.0,-219.11789714850818,-290.9020911093276,64.19585844280634,-587.5564480959717
20,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
21,0,reaction_linearized,-2.0625343051506277,1.0,-970.4931242227738,-685.9442983769351,191.2389947196993,-1512.3136361639233
21,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
22,0,reaction_linearized,-2.21396579955735,1.0,-808.0255718318813,-807.0255718318501,191.2389947196993,-1623.3478688378307
22,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
23,0,reaction_linearized,-2.33724587575945,1.0,-686.7557242532075,-924.2292690440619,191.2389947196993,-1713.7406151994905
23,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
24,0,reaction_linearized,-5.165103770730383,1.0,-2798.437620400951,-1954.6924336150862,517.0188621624775,-4054.5564039010483
24,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
25,0,reaction_linearized,-5.540823105390075,1.0,-2309.354901727875,-2308.3549017275627,517.0188621624775,-4349.492440432685
25,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
26,0,reaction_linearized,-5.84432239591208,1.0,-1948.5682847433377,-2650.7416660035547,517.0188621624775,-4587.736442216101
26,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
