Temperature (K),Ca (mol/L),Cb (mol/L)
300.0,0.9985110152209148,1.9970220304418296
300.5005005005005,0.9984116345513102,1.9968232691026204
301.001001001001,0.9983061838555553,1.9966123677111105
301.5015015015015,0.9981943395224536,1.9963886790449072
302.00200200200203,0.9980757648274626,1.9961515296549253
302.5025025025025,0.9979501097914723,1.9959002195829445
303.003003003003,0.9978170110818856,1.9956340221637712
303.5035035035035,0.997676091961101,1.995352183922202
304.004004004004,0.9975269622877436,1.9950539245754872
304.5045045045045,0.9973692185762107,1.9947384371524215
305.005005005005,0.9972024441202902,1.9944048882405805
305.5055055055055,0.9970262091867679,1.9940524183735358
306.00600600600603,0.9968400712850549,1.9936801425701098
306.5065065065065,0.9966435755189308,1.9932871510378616
307.007007007007,0.9964362550265009,1.9928725100530018
307.5075075075075,0.9962176315144079,1.9924352630288158
308.008008008008,0.9959872158921934,1.9919744317843868
308.5085085085085,0.9957445090124855,1.991489018024971
309.009009009009,0.9954890025223614,1.9909780050447228
309.5095095095095,0.9952201798308175,1.990440359661635
310.01001001001003,0.9949375171967338,1.9898750343934677
310.5105105105105,0.9946404849410744,1.9892809698821488
311.011011011011,0.9943285487862719,1.9886570975725437
311.5115115115115,0.9940011713248427,1.9880023426496853
312.012012012012,0.9936578136182244,1.9873156272364487
312.5125125125125,0.9932979369256486,1.9865958738512972
313.013013013013,0.9929210045615472,1.9858420091230944
313.5135135135135,0.9925264838785453,1.9850529677570905
314.01401401401404,0.9921138483715268,1.9842276967430537
314.51451451451453,0.9916825798965865,1.983365159793173
315.015015015015,0.9912321709969024,1.9824643419938048
315.5155155155155,0.9907621273257265,1.981524254651453
316.016016016016,0.9902719701547741,1.9805439403095482
316.5165165165165,0.9897612389543745,1.979522477908749
317.017017017017,0.9892294940298152,1.9784589880596304
317.5175175175175,0.9886763191964183,1.9773526383928366
318.01801801801804,0.9881013244740836,1.9762026489481672
318.51851851851853,0.9875041487803244,1.9750082975606489
319.019019019019,0.9868844625992861,1.9737689251985722
319.5195195195195,0.9862419706028874,1.9724839412057749
320.02002002002,0.9855764141991281,1.9711528283982562
320.5205205205205,0.9848875739817783,1.9697751479635566
321.021021021021,0.9841752720551642,1.9683505441103284
321.52152152152155,0.9834393742076489,1.9668787484152979
322.02202202202204,0.9826797919075553,1.9653595838151106
322.52252252252254,0.9818964840960624,1.963792968192125
323.02302302302303,0.9810894587525433,1.9621789175050866
323.5235235235235,0.9802587742093789,1.9605175484187578
324.024024024024,0.9794045401951853,1.9588090803903706
324.5245245245245,0.9785269185877207,1.9570538371754413
325.025025025025,0.9776261238604639,1.9552522477209278
325.52552552552555,0.9767024232099348,1.9534048464198697
326.02602602602605,0.975756136354209,1.951512272708418
326.52652652652654,0.9747876349967275,1.949575269993455
327.02702702702703,0.9737973419533449,1.9475946839066898
327.5275275275275,0.9727857299445308,1.9455714598890617
328.028028028028,0.9717533200586614,1.9435066401173229
328.5285285285285,0.9707006798963509,1.9414013597927018
329.02902902902906,0.9696284214096759,1.9392568428193517
